,time,L_X,L_Y,L_P,L_V,R_X,R_Y,R_P,R_V,Event
0,1144718.588,1055.7854461669922,358.42477083206177,3.704299926757813,True,1059.0327072143557,446.32792711257935,3.5697174072265625,True,Fixation
1,1144721.913,,,,False,,,,False,
2,1144725.246,,,,False,,,,False,
3,1144728.58,,,,False,,,,False,
4,1144731.922,,,,False,,,,False,
5,1144735.19,,,,False,,,,False,
6,1144738.53,,,,False,,,,False,
7,1144741.882,,,,False,,,,False,
8,1144745.247,,,,False,,,,False,
9,1144748.549,,,,False,,,,False,
10,1144751.882,,,,False,,,,False,
11,1144755.215,1048.2562637329102,390.7133746147156,3.6922454833984375,True,1043.6783981323242,394.520845413208,3.7779693603515625,True,
12,1144758.575,1064.8270797729492,441.72622203826904,3.609451293945313,True,1043.7002563476562,399.57168102264404,3.800140380859375,True,
13,1144761.934,1032.2050094604492,430.12704133987427,3.5121002197265625,True,1047.0824432373047,397.46243476867676,3.79638671875,True,
14,1144765.193,1035.3967666625977,418.07222843170166,3.4976348876953125,True,1062.5225830078125,410.2594041824341,3.781951904296875,True,
15,1144768.543,1038.8331985473633,435.6790852546692,3.465072631835937,True,1062.890510559082,415.78962564468384,3.781158447265625,True,
16,1144771.903,1036.911735534668,406.8407464027405,3.535247802734375,True,1061.4680099487305,392.05188274383545,3.799148559570313,True,
17,1144775.26,1029.9437713623047,423.7683391571045,3.48345947265625,True,1057.1862030029297,415.3547215461731,3.767898559570313,True,
18,1144778.509,1027.3357772827148,444.5041751861572,3.4459686279296875,True,1054.2287063598633,424.30707693099976,3.749832153320313,True,
19,1144781.869,1031.6095733642578,454.4974422454834,3.415374755859375,True,1054.486427307129,416.35108709335327,3.758087158203125,True,
20,1144785.226,1038.0121994018557,402.01817750930786,3.5241851806640625,True,1049.9933624267578,386.59504652023315,3.822509765625,True,
21,1144788.577,1046.2329483032229,454.48270082473755,3.42999267578125,True,1063.5874557495115,427.9249048233032,3.740036010742188,True,
22,1144791.836,1054.2707061767578,492.1432328224182,3.39190673828125,True,1048.1672286987305,382.511351108551,3.81817626953125,True,
23,1144795.194,1050.9531784057615,430.67434072494507,3.481781005859375,True,1048.8414001464844,402.70169019699097,3.8258056640625,True,
24,1144798.553,1054.4987869262695,529.4517087936401,3.327545166015625,True,1048.018569946289,395.97760677337646,3.795608520507813,True,
25,1144801.91,1039.819450378418,417.91303396224976,3.5201416015625,True,1043.6471557617188,399.12448167800903,3.806304931640625,True,
26,1144805.155,1042.2886276245115,446.25563621520996,3.4812164306640625,True,1060.3436279296875,412.20205307006836,3.762725830078125,True,
27,1144808.519,1044.0006637573242,417.38948822021484,3.514556884765625,True,1034.9612045288086,404.11004304885864,3.80755615234375,True,
28,1144811.88,1052.6581192016602,433.28086853027344,3.476425170898437,True,1055.5620574951172,428.8924312591553,3.7509765625,True,
29,1144815.242,1042.9567337036133,435.14047622680664,3.476409912109375,True,1039.7187423706057,394.00444507598877,3.825637817382813,True,
30,1144818.506,1048.5696029663086,469.34417724609375,3.431137084960937,True,1044.2880249023438,431.2764859199524,3.7520751953125,True,
31,1144821.851,1041.4479446411133,484.2008900642395,3.3648223876953125,True,1060.5774307250977,490.53062438964844,3.64691162109375,True,
32,1144825.201,1045.198745727539,413.6172294616699,3.513427734375,True,1058.2892990112305,520.2126359939575,3.5557861328125,True,
33,1144828.567,1058.3773040771484,423.15788984298706,3.488143920898437,True,1053.197364807129,486.8182969093323,3.621246337890625,True,
34,1144831.924,1050.0941848754885,425.6739091873169,3.45843505859375,True,1056.1021041870115,528.3144950866699,3.5431060791015625,True,
35,1144835.19,1045.224380493164,459.8177433013916,3.409637451171875,True,1036.9215774536133,428.46447944641113,3.7533111572265625,True,
36,1144838.534,1044.4804000854492,438.7543773651123,3.468475341796875,True,1049.7383880615234,482.8038024902344,3.652420043945313,True,
37,1144841.893,1043.5409545898438,377.49263763427734,3.58282470703125,True,1057.3473358154297,462.62974977493286,3.7065277099609375,True,
