,time,L_X,L_Y,L_P,L_V,R_X,R_Y,R_P,R_V,Event
27436,971359.997,,,,False,,,,False,
27437,971363.332,,,,False,,,,False,
27438,971366.659,,,,False,776.2825012207031,576.0553908348083,3.5645904541015625,True,
27439,971370.015,,,,False,776.0234069824219,568.3295345306396,3.564910888671875,True,
27440,971373.383,,,,False,772.6075172424316,571.51850938797,3.5597686767578125,True,
27441,971376.638,,,,False,781.7539215087891,567.1957647800446,3.562347412109375,True,
27442,971379.987,,,,False,772.7254486083984,634.1688072681427,3.7190093994140634,True,
27443,971383.348,794.208927154541,612.6881432533264,3.528228759765625,True,819.0959930419922,565.1625752449036,3.597640991210937,True,
27444,971386.709,829.4363021850586,606.0045504570007,3.528167724609375,True,853.9439964294434,561.6075110435486,3.5574493408203125,True,
27445,971389.98,893.7116432189941,574.1981327533722,3.553009033203125,True,899.6987915039062,549.3260407447815,3.555145263671875,True,
27446,971393.341,955.7548713684082,552.324310541153,3.520294189453125,True,921.8105506896972,546.2655544281006,3.5078582763671875,True,
27447,971396.681,1000.4561233520508,540.4891061782837,3.4677734375,True,955.436840057373,521.2572813034058,3.535263061523437,True,
27448,971400.045,1021.9816589355468,509.75247144699097,3.528060913085937,True,963.7247085571288,540.7742464542389,3.44256591796875,True,
27449,971403.304,1031.1267471313477,503.3393096923828,3.51348876953125,True,990.9514617919922,519.8583912849426,3.491317749023437,True,
27450,971406.652,1026.675682067871,486.42285346984863,3.5693359375,True,995.5721282958984,536.3447713851929,3.4589996337890625,True,
27451,971410.015,1010.0602340698242,525.6031036376953,3.5054473876953125,True,999.0149688720704,547.7974390983582,3.4149169921875,True,
27452,971413.372,999.2491149902344,603.7167656421661,3.3222808837890625,True,999.5061492919922,535.9520316123962,3.447235107421875,True,
27453,971416.732,982.7109146118164,534.0162706375122,3.49700927734375,True,987.2788238525392,525.9312129020691,3.467498779296875,True,
27454,971420.088,975.9460830688477,545.7899343967438,3.503890991210937,True,978.1522750854492,511.9197177886963,3.5128631591796875,True,
27455,971423.326,990.3105926513672,591.4393186569214,3.3404998779296875,True,977.7259826660156,526.033501625061,3.487289428710937,True,
27456,971426.702,991.054229736328,584.9245762825012,3.3482818603515625,True,988.377571105957,511.9993472099304,3.519775390625,True,
27457,971430.059,989.6246337890624,584.1468858718872,3.371856689453125,True,1000.6581115722656,515.629985332489,3.4946441650390625,True,
27458,971433.305,1003.0185699462892,557.5076901912689,3.4933013916015625,True,1002.0570373535156,512.8476548194885,3.4920196533203125,True,
27459,971436.653,991.9588851928712,539.5485520362854,3.51910400390625,True,995.240364074707,523.5568141937256,3.4696807861328125,True,
27460,971440.014,984.0546798706056,544.4763708114624,3.508819580078125,True,1005.344467163086,511.27663135528564,3.478363037109375,True,
27461,971443.375,989.722023010254,558.7874257564545,3.4744415283203125,True,1004.8065948486328,513.4197378158569,3.49420166015625,True,
27462,971446.658,989.648208618164,542.3410856723785,3.5077362060546875,True,1007.549171447754,516.463873386383,3.4957275390625,True,
27463,971449.99,996.4873123168944,545.0649654865265,3.50115966796875,True,992.6177215576172,504.3025875091553,3.5181427001953125,True,
27464,971453.354,988.2380676269532,540.7830333709717,3.530517578125,True,1001.887664794922,506.09164237976074,3.534393310546875,True,
27465,971456.706,994.0038299560548,537.1089434623718,3.5240020751953125,True,1001.6403579711914,512.3817229270935,3.514801025390625,True,
27466,971459.999,992.4358749389648,545.9873020648956,3.5084991455078125,True,1000.9783172607422,507.3306941986084,3.5345916748046875,True,
27467,971463.323,993.244743347168,541.8279361724854,3.5172271728515625,True,1004.183464050293,523.0567002296448,3.492523193359375,True,
27468,971466.682,990.6396102905272,537.5076055526733,3.508148193359375,True,1007.6713943481444,530.3706336021423,3.436248779296875,True,
