,time,L_X,L_Y,L_P,L_V,R_X,R_Y,R_P,R_V,Event
0,632260.705,938.503532409668,487.3808526992798,3.2683258056640625,True,958.7246704101562,443.98011445999146,3.5424957275390625,True,Fixation
1,632263.984,,,,False,,,,False,
2,632267.316,,,,False,,,,False,
3,632270.62,,,,False,,,,False,
4,632273.987,,,,False,,,,False,
5,632277.344,,,,False,,,,False,
6,632280.595,,,,False,,,,False,
7,632283.947,,,,False,,,,False,
8,632287.299,,,,False,,,,False,
9,632290.613,,,,False,,,,False,
10,632293.945,,,,False,,,,False,
11,632297.273,934.1469955444336,460.64100980758667,3.2628936767578125,True,953.9287948608398,456.8180251121521,3.487823486328125,True,
12,632300.614,937.4828910827636,485.09541749954224,3.202484130859375,True,941.147117614746,452.97914028167725,3.4906768798828125,True,
13,632303.976,939.3405532836914,486.32970571517944,3.1753692626953125,True,950.4771423339844,454.0934371948242,3.490966796875,True,
14,632307.24,938.635482788086,483.5748624801636,3.204254150390625,True,948.9492416381836,446.7201519012451,3.5075225830078125,True,
15,632310.599,933.9059257507324,482.19528436660767,3.2267608642578125,True,948.413028717041,452.2842335700989,3.4964599609375,True,
16,632313.939,935.7471084594728,487.4713611602783,3.2104644775390625,True,937.642993927002,456.49487257003784,3.491561889648437,True,
17,632317.3,937.8160285949708,482.8250455856323,3.213729858398437,True,940.2859497070312,463.3234977722168,3.478759765625,True,
18,632320.661,938.4757232666016,476.29491806030273,3.237457275390625,True,941.2090301513672,458.5724472999573,3.489288330078125,True,
19,632323.93,934.335880279541,491.0073709487915,3.209747314453125,True,942.568359375,457.5378441810608,3.4872589111328125,True,
20,632327.262,933.5235786437988,474.14543867111206,3.2280426025390625,True,947.3528480529784,453.4516382217407,3.494491577148437,True,
21,632330.621,948.5299873352052,481.09830379486084,3.2096405029296875,True,949.3927574157716,460.36948442459106,3.4774932861328125,True,
22,632333.983,938.1565475463868,479.0072751045227,3.22210693359375,True,950.3195571899414,459.17484998703003,3.498275756835937,True,
23,632337.26,935.145778656006,482.72584676742554,3.2078399658203125,True,947.1839332580566,453.6264109611511,3.5094146728515625,True,
24,632340.586,935.4232406616212,473.2015371322632,3.2245330810546875,True,948.812370300293,451.50654315948486,3.500473022460937,True,
25,632343.947,934.0517234802246,488.95142555236816,3.1837310791015625,True,944.5113945007324,456.83411836624146,3.4946746826171875,True,
26,632347.308,937.701930999756,484.575412273407,3.209564208984375,True,943.9911460876464,459.59984064102173,3.49310302734375,True,
